id;name;price;quantity;description
1;Rubber;233.87;40;2-370 - Erosion and Sedimentation Control
2;Plexiglass;965.80;99;17-030 - Bond
3;Stone;12.24;5;11-900 - Exhibit Equipment
4;Aluminum;158.85;78;2-260 - Excavation Support and Protection
5;Steel;69.61;59;15-900 - HVAC Instruments and Controls
6;Steel;450.82;91;3-230 - Anchor Bolts
7;Aluminum;433.44;44;2-780 - Clay Unit Pavers
8;Brass;898.51;44;1-560 - Temporary Barriers and Enclosures
9;Granite;664.15;59;11-650 - Planetarium Equipment
10;Steel;761.25;73;11-020 - Security and Vault Equipment
11;Wood;806.53;96;1-740 - Cleaning
12;Vinyl;390.74;80;16-500 - Lighting
13;Glass;970.91;5;1-010 - Project Manager
14;Rubber;529.23;73;10 - Specialties
15;Plexiglass;300.61;25;14-600 - Hoists and Cables
16;Granite;126.19;17;10-290 - Pest Control
17;Wood;718.74;72;7 - Thermal and Moisture Protection
18;Vinyl;784.26;19;17-040 - Profit
19;Vinyl;111.30;70;13-850 - Detection and Alarm
20;Wood;157.33;33;1-517 - Temporary Telephone
21;Stone;923.74;70;11-140 - Vehicle Service Equipment
22;Stone;773.04;72;4-900 - Masonry Restoration and Cleaning
23;Wood;98.00;44;13-190 - Site-Constructed Incinerators
24;Plexiglass;579.88;59;2-230 - Site Clearing
25;Stone;632.68;53;6 - Wood and Plastics
26;Aluminum;961.68;46;2-500 - Utility Services
27;Vinyl;337.63;65;11-140 - Vehicle Service Equipment
28;Plexiglass;863.47;85;14-900 - Transportation
29;Aluminum;921.12;61;1-640 - Owner Furnished Products
30;Plastic;182.00;70;11-040 - Ecclesiastical Equipment
31;Granite;126.11;84;3-330 - Poured Concrete Basement Walls
32;Wood;676.36;61;2-923 - Seeding and Soil Supplements
33;Granite;313.87;84;11-470 - Darkroom Equipment
34;Plastic;472.38;24;4-200 - Masonry Units
35;Rubber;16.08;46;15-800 - Air Distribution
36;Vinyl;989.78;48;1-630 - Product Substitution Procedures
37;Rubber;959.50;4;14-300 - Escalators and Moving Walks
38;Vinyl;954.19;100;15-300 - Fire Protection Piping
39;Brass;434.15;95;3-230 - Anchor Bolts
40;Steel;301.91;99;1-523 - Sanitary Facilities
41;Vinyl;750.88;98;2-300 - Earthwork
42;Vinyl;98.60;27;13-185 - Kennels and Animal Shelters
43;Rubber;759.82;33;7-900 - Joint Sealers
44;Vinyl;195.11;63;10-100 - Visual Display Boards
45;Plexiglass;607.18;23;5-300 - Metal Deck
46;Wood;95.17;13;14-400 - Lifts
47;Rubber;806.88;56;11-850 - Navigation Equipment
48;Rubber;977.05;99;14-600 - Hoists and Cables
49;Aluminum;563.48;37;3-100 - Concrete Reinforcement
50;Brass;606.24;27;2-830 - Retaining Walls
51;Aluminum;687.58;20;2-317 - Select Borrow
52;Granite;368.50;44;1-517 - Temporary Telephone
53;Brass;212.41;35;2-780 - Clay Unit Pavers
54;Steel;552.59;80;2-625 - Retaining Wall Drainage Piping
55;Wood;933.70;100;10-670 - Storage Shelving
56;Aluminum;606.58;10;2-320 - Excavation and Fill
57;Plexiglass;811.87;56;11-450 - Residential Equipment
58;Granite;435.72;43;1 - General Requirements
59;Plexiglass;87.58;63;16-050 - Basic Electrical Materials and Methods
60;Aluminum;735.08;59;10-300 - Fireplaces and Stoves
61;Vinyl;960.57;70;13-240 - Oxygenation Systems
62;Plastic;187.28;60;10 - Specialties
63;Wood;691.34;16;10-270 - Access Flooring
64;Granite;878.53;82;7-400 - Roofing and Siding Panels
65;Stone;784.15;50;13-120 - Pre-Engineered Structures
66;Rubber;369.82;49;11-850 - Navigation Equipment
67;Glass;686.12;85;11-850 - Navigation Equipment
68;Vinyl;735.36;57;1-010 - Project Manager
69;Plastic;928.07;30;16-400 - Low-Voltage Distribution
70;Plexiglass;320.93;86;10-880 - Scales
71;Wood;156.89;25;11-300 - Fluid Waste Treatment and Disposal Equipment
72;Granite;198.26;51;2-924 - Sodding
73;Vinyl;311.09;99;11-150 - Parking Control Equipment
74;Rubber;383.53;38;14-600 - Hoists and Cables
75;Plexiglass;596.63;31;11-170 - Solid Waste Handling Equipment
76;Aluminum;929.48;90;3-210 - Cast-In-Place Concrete
77;Aluminum;369.75;52;9-100 - Metal Support Assemblies
78;Vinyl;889.56;21;12-300 - Manufactured Casework
79;Aluminum;777.64;26;10-350 - Flagpoles
80;Wood;600.48;9;13-165 - Aquatic Park Facilities
81;Vinyl;705.64;66;4-800 - Masonry Assemblies
82;Aluminum;772.57;79;2-936 - Fertilizer
83;Brass;566.33;80;1-542 - Construction Scaffolding and Platforms
84;Plexiglass;326.02;76;9-100 - Metal Support Assemblies
85;Steel;831.04;83;14-300 - Escalators and Moving Walks
86;Brass;763.40;59;13-030 - Special Purpose Rooms
87;Plexiglass;567.35;58;14-400 - Lifts
88;Plexiglass;199.96;13;2-750 - Concrete Pads and Walks
89;Brass;631.31;2;1-518 - Temporary Water
90;Plastic;284.48;58;6-500 - Structural Plastics
91;Plastic;100.33;57;11-030 - Teller and Service Equipment
92;Glass;157.21;56;9-300 - Tile
93;Vinyl;146.65;93;13-170 - Tubs and Pools
94;Rubber;187.47;88;11-030 - Teller and Service Equipment
95;Glass;444.74;18;2-919 - Topsoil
96;Granite;329.36;44;10-820 - Bathroom Accessories
97;Aluminum;999.57;9;7-800 - Fire and Smoke Protection
98;Rubber;531.75;95;1-542 - Construction Scaffolding and Platforms
99;Brass;348.64;66;2-780 - Clay Unit Pavers
100;Aluminum;805.39;51;17-040 - Profit
101;Rubber;708.64;23;11-660 - Observatory Equipment
102;Stone;18.91;47;2-825 - Wood Fences and Gates
103;Brass;762.47;40;2-312 - Rough Grading
104;Wood;637.39;42;1-640 - Owner Furnished Products
105;Glass;388.17;30;1-002 - Instructions
106;Plastic;88.85;51;8-700 - Hardware
107;Glass;94.46;3;11-280 - Hydraulic Gates and Valves
108;Glass;311.43;53;5-050 - Basic Metal Materials and Methods
109;Plastic;776.34;66;3-400 - Precast Concrete
110;Granite;874.08;97;14-800 - Scaffolding
111;Stone;498.28;65;2-770 - Curb and Gutters
112;Stone;630.96;56;2-935 - Plant Maintenance
113;Aluminum;336.85;75;2-740 - Flexible Pavement Asphalt Pavement
114;Aluminum;985.56;11;2-830 - Retaining Walls
115;Brass;158.98;35;9-700 - Wall Finishes
116;Aluminum;167.14;63;2-919 - Topsoil
117;Glass;930.82;60;11-500 - Industrial and Process Equipment
118;Plastic;880.02;33;11-160 - Loading Dock Equipment
119;Stone;236.83;29;1-530 - Temporary Construction
120;Wood;679.42;35;11 - Equipment
121;Plexiglass;257.05;17;4-700 - Simulated Masonry
122;Plastic;39.37;85;11 - Equipment
123;Plexiglass;732.23;8;2-000 - General
124;Vinyl;841.26;13;16-050 - Basic Electrical Materials and Methods
125;Vinyl;943.86;66;1-550 - Vehicular Access and Parking
126;Brass;340.65;20;1-550 - Vehicular Access and Parking
127;Stone;55.95;35;14-400 - Lifts
128;Stone;213.83;73;4-050 - Basic Masonry Materials and Methods
129;Glass;683.99;55;1-550 - Vehicular Access and Parking
130;Granite;793.32;15;"1-514 - Temporary Heating; Cooling and Ventilation"
131;Granite;395.41;71;9-100 - Metal Support Assemblies
132;Glass;688.64;44;1-712 - Local Conditions
133;Steel;761.14;12;3-210 - Cast-In-Place Concrete
134;Brass;133.58;96;15-050 - Basic Mechanical Materials and Methods
135;Vinyl;208.05;50;7-400 - Roofing and Siding Panels
136;Plexiglass;212.84;59;2-919 - Topsoil
137;Wood;157.92;21;13-200 - Storage Tanks
138;Wood;158.66;30;1-002 - Instructions
139;Stone;280.10;6;12-300 - Manufactured Casework
140;Wood;382.38;5;2-935 - Plant Maintenance
141;Granite;537.89;55;1-518 - Temporary Water
142;Plexiglass;2.65;72;15-050 - Basic Mechanical Materials and Methods
143;Vinyl;622.97;26;7-500 - Membrane Roofing
144;Plexiglass;345.99;70;10-670 - Storage Shelving
145;Wood;175.03;38;16-700 - Communications
146;Granite;583.39;50;16-800 - Sound and Video
147;Plastic;564.84;63;1-500 - Temporary Facilities and Controls
148;Brass;830.43;13;4-700 - Simulated Masonry
149;Rubber;167.67;39;2-830 - Retaining Walls
150;Stone;303.48;12;9-600 - Flooring
151;Plexiglass;246.79;63;11-500 - Industrial and Process Equipment
152;Stone;431.52;14;11-160 - Loading Dock Equipment
153;Glass;692.78;10;5-500 - Metal Fabrications
154;Plastic;386.47;75;3-320 - Slab Foundations
155;Rubber;74.45;54;10-670 - Storage Shelving
156;Granite;831.06;37;13-550 - Transportation Control Instrumentation
157;Glass;672.98;11;2-781 - Asphalt Pavers
158;Steel;555.31;35;4-900 - Masonry Restoration and Cleaning
159;Granite;213.81;31;4-500 - Refractories
160;Glass;555.52;82;4 - Masonry
161;Stone;714.19;83;13-150 - Swimming Pools
162;Plexiglass;626.78;10;3-050 - Concrete Subcontractor
163;Wood;896.00;70;11-120 - Vending Equipment
164;Brass;142.50;25;8-900 - Glazed Curtain Wall
165;Brass;354.80;84;1-011 - Project Engineer
166;Aluminum;178.94;41;2-750 - Concrete Pads and Walks
167;Glass;434.50;41;13-090 - Radiation Protection
168;Vinyl;518.56;85;11-140 - Vehicle Service Equipment
169;Granite;17.71;37;1-510 - Temporary Utilities
170;Brass;731.93;90;15-300 - Fire Protection Piping
171;Brass;57.43;8;2-320 - Excavation and Fill
172;Vinyl;886.90;90;13-100 - Lightning Protection
173;Granite;592.71;23;2-824 - Wire Fences and Gates
174;Rubber;444.94;70;2-917 - Soil Preparation
175;Wood;166.13;73;2-830 - Retaining Walls
176;Plastic;849.13;91;3-500 - Cementitious Decks and Underlayments
177;Glass;291.04;99;3-500 - Cementitious Decks and Underlayments
178;Glass;568.10;78;1-523 - Sanitary Facilities
179;Stone;704.06;18;1-570 - Temporary Controls
180;Glass;968.58;67;3-050 - Concrete Subcontractor
181;Plastic;956.32;54;11-300 - Fluid Waste Treatment and Disposal Equipment
182;Granite;469.44;98;1-630 - Product Substitution Procedures
183;Stone;923.76;25;13-230 - Digester Covers and Appurtenances
184;Plastic;964.53;59;5-700 - Ornamental Metal
185;Stone;185.26;15;10-270 - Access Flooring
186;Plastic;282.65;42;"1-514 - Temporary Heating; Cooling and Ventilation"
187;Granite;721.57;73;2-782 - Brick Pavers
188;Aluminum;147.97;32;7-100 - Damproofing and Waterproofing
189;Wood;423.79;37;2-200 - Site Preparation
190;Granite;619.22;27;11-060 - Theater and Stage Equipment
191;Glass;368.03;68;4-600 - Corrosion-Resistant Masonry
192;Plexiglass;865.17;67;3-310 - Expansion Joints
193;Granite;163.85;28;10-530 - Protective Covers
194;Brass;915.96;48;2-000 - General
195;Vinyl;115.05;24;1-511 - Temporary Electricity
196;Plastic;122.04;12;14 - Conveying Systems
197;Granite;142.25;57;4-900 - Masonry Restoration and Cleaning
198;Granite;933.44;67;11-460 - Unit Kitchens
199;Plastic;843.90;18;3 - Concrete
200;Plexiglass;854.34;22;8-700 - Hardware
201;Aluminum;777.39;87;2-935 - Plant Maintenance
202;Plexiglass;585.07;83;10-100 - Visual Display Boards
203;Wood;246.14;55;6-050 - Basic Wood and Plastic Materials and Methods
204;Stone;173.64;24;14-100 - Dumbwaiters
205;Glass;454.04;48;11-160 - Loading Dock Equipment
206;Plexiglass;803.46;55;10-290 - Pest Control
207;Steel;390.46;89;11-450 - Residential Equipment
208;Steel;659.88;96;13-160 - Aquariums
209;Plexiglass;17.30;32;"1-514 - Temporary Heating; Cooling and Ventilation"
210;Glass;34.12;3;6-100 - Rough Carpentry
211;Plastic;590.68;49;2-362 - Termite Control
212;Plastic;10.68;74;15-900 - HVAC Instruments and Controls
213;Plastic;820.69;78;2-625 - Retaining Wall Drainage Piping
214;Plastic;933.02;18;7-600 - Flashing and Sheet Metal
215;Vinyl;772.92;1;6-100 - Rough Carpentry
